name,rating,review,colour,date,title,rating_score,date_parsed,language,cleaned_text,tokens,token_count,sentences,sentence_count,tokens_no_stopwords,lemmatized_tokens,lemmatized_text
ramesh rai,4.0 out of 5 stars,Good,Silver,30 October 2025,Good,4.0,2025-10-30,so,good,['good'],1,['good'],1,['good'],['good'],good
Nafees,4.0 out of 5 stars,Good for using,Deep_Blue,28 October 2025,Excellent,4.0,2025-10-28,en,good for using,"['good', 'for', 'using']",3,['good for using'],1,"['good', 'using']","['good', 'using']",good using
Pawan Kumar,4.0 out of 5 stars,This watch is best in look and it has almost all features like call videos music etc it is very good in touch it's sound is OK ok it has value of money this is best watch to buy,Rose Gold,2 October 2025,Look and qualitys,4.0,2025-10-02,en,this watch is best in look and it has almost all features like call videos music etc it is very good in touch its sound is ok ok it has value of money this is best watch to buy,"['this', 'watch', 'is', 'best', 'in', 'look', 'and', 'it', 'has', 'almost', 'all', 'features', 'like', 'call', 'videos', 'music', 'etc', 'it', 'is', 'very', 'good', 'in', 'touch', 'its', 'sound', 'is', 'ok', 'ok', 'it', 'has', 'value', 'of', 'money', 'this', 'is', 'best', 'watch', 'to', 'buy']",39,['this watch is best in look and it has almost all features like call videos music etc it is very good in touch its sound is ok ok it has value of money this is best watch to buy'],1,"['watch', 'best', 'look', 'almost', 'features', 'like', 'call', 'videos', 'music', 'etc', 'good', 'touch', 'sound', 'ok', 'ok', 'value', 'money', 'best', 'watch', 'buy']","['watch', 'best', 'look', 'almost', 'feature', 'like', 'call', 'video', 'music', 'etc', 'good', 'touch', 'sound', 'ok', 'ok', 'value', 'money', 'best', 'watch', 'buy']",watch best look almost feature like call video music etc good touch sound ok ok value money best watch buy
Singhanara,4.0 out of 5 stars,Very nice.Happy with the product and it's durability.,Gray,18 October 2025,Superb,4.0,2025-10-18,en,very nice.happy with the product and its durability.,"['very', 'nice.happy', 'with', 'the', 'product', 'and', 'its', 'durability', '.']",9,['very nice.happy with the product and its durability.'],1,"['nice.happy', 'product', 'durability', '.']","['nice.happy', 'product', 'durability', '.']",nice.happy product durability .
Placeholder,4.0 out of 5 stars,Worth a buy,Black_Metal,22 October 2025,Good Buy,4.0,2025-10-22,en,worth a buy,"['worth', 'a', 'buy']",3,['worth a buy'],1,"['worth', 'buy']","['worth', 'buy']",worth buy
Bubai mondal,4.0 out of 5 stars,Nice product 😃,Silver,16 October 2025,Nice product,4.0,2025-10-16,ro,nice product,"['nice', 'product']",2,['nice product'],1,"['nice', 'product']","['nice', 'product']",nice product
Laila,4.0 out of 5 stars,Nice been using it for 4 years,WineRed,13 October 2025,Affordable and best,4.0,2025-10-13,en,nice been using it for 4 years,"['nice', 'been', 'using', 'it', 'for', '4', 'years']",7,['nice been using it for 4 years'],1,"['nice', 'using', '4', 'years']","['nice', 'using', '4', 'year']",nice using 4 year
Ajit Kr Upadhyay,4.0 out of 5 stars,NICE PRODUCT MET THE QUALITY AND GOOD LOOK,Silver,9 October 2025,Standard,4.0,2025-10-09,vi,nice product met the quality and good look,"['nice', 'product', 'met', 'the', 'quality', 'and', 'good', 'look']",8,['nice product met the quality and good look'],1,"['nice', 'product', 'met', 'quality', 'good', 'look']","['nice', 'product', 'met', 'quality', 'good', 'look']",nice product met quality good look
12yqra,4.0 out of 5 stars,Nice,Jet Black,10 October 2025,Good,4.0,2025-10-10,ro,nice,['nice'],1,['nice'],1,['nice'],['nice'],nice
Gautam Kumar,4.0 out of 5 stars,Ok,Jet Black,10 October 2025,Ok,4.0,2025-10-10,unknown,ok,['ok'],1,['ok'],1,['ok'],['ok'],ok
P.D. Dhadhal,4.0 out of 5 stars,Amazing product but found watch streps fitted wrong so I had repair at local watch repairer,BLACK,5 October 2025,Amazing product,4.0,2025-10-05,en,amazing product but found watch streps fitted wrong so i had repair at local watch repairer,"['amazing', 'product', 'but', 'found', 'watch', 'streps', 'fitted', 'wrong', 'so', 'i', 'had', 'repair', 'at', 'local', 'watch', 'repairer']",16,['amazing product but found watch streps fitted wrong so i had repair at local watch repairer'],1,"['amazing', 'product', 'found', 'watch', 'streps', 'fitted', 'wrong', 'repair', 'local', 'watch', 'repairer']","['amazing', 'product', 'found', 'watch', 'strep', 'fitted', 'wrong', 'repair', 'local', 'watch', 'repairer']",amazing product found watch strep fitted wrong repair local watch repairer
Amazon Customer,4.0 out of 5 stars,Product is very good 👍,Dark Teal,6 October 2025,Thank,4.0,2025-10-06,en,product is very good,"['product', 'is', 'very', 'good']",4,['product is very good'],1,"['product', 'good']","['product', 'good']",product good
J.V.ENTERPRISES,4.0 out of 5 stars,Good product according this price range,BLUE,2 October 2025,Good,4.0,2025-10-02,en,good product according this price range,"['good', 'product', 'according', 'this', 'price', 'range']",6,['good product according this price range'],1,"['good', 'product', 'according', 'price', 'range']","['good', 'product', 'according', 'price', 'range']",good product according price range
M.hussain Maya,4.0 out of 5 stars,Good but not worth instead buy a cheaper one and display is good,BLUE,27 September 2025,Instead next tine i would go with a analogue watch,4.0,2025-09-27,en,good but not worth instead buy a cheaper one and display is good,"['good', 'but', 'not', 'worth', 'instead', 'buy', 'a', 'cheaper', 'one', 'and', 'display', 'is', 'good']",13,['good but not worth instead buy a cheaper one and display is good'],1,"['good', 'worth', 'instead', 'buy', 'cheaper', 'one', 'display', 'good']","['good', 'worth', 'instead', 'buy', 'cheaper', 'one', 'display', 'good']",good worth instead buy cheaper one display good
rk,4.0 out of 5 stars,No warranty number in box,Silver,29 September 2025,Smart watch...,4.0,2025-09-29,en,no warranty number in box,"['no', 'warranty', 'number', 'in', 'box']",5,['no warranty number in box'],1,"['warranty', 'number', 'box']","['warranty', 'number', 'box']",warranty number box
Gokul,4.0 out of 5 stars,Yeah display pretty good but not happy with the strap,Carbon Black,26 September 2025,Yeah nice,4.0,2025-09-26,en,yeah display pretty good but not happy with the strap,"['yeah', 'display', 'pretty', 'good', 'but', 'not', 'happy', 'with', 'the', 'strap']",10,['yeah display pretty good but not happy with the strap'],1,"['yeah', 'display', 'pretty', 'good', 'happy', 'strap']","['yeah', 'display', 'pretty', 'good', 'happy', 'strap']",yeah display pretty good happy strap
Partha Sarathi Sarkar,4.0 out of 5 stars,Good Product,BLUE,25 September 2025,Good,4.0,2025-09-25,en,good product,"['good', 'product']",2,['good product'],1,"['good', 'product']","['good', 'product']",good product
Omprakash,4.0 out of 5 stars,Good product,Silver,23 September 2025,Good colour,4.0,2025-09-23,en,good product,"['good', 'product']",2,['good product'],1,"['good', 'product']","['good', 'product']",good product
Santhosh Kumar,4.0 out of 5 stars,"Everything is Good, the strap, the watch, the functions and the accuracy and app connectivity but the touch response could've been faster overall worth the price",Charcoal Black,19 September 2025,PERFORMANCE,4.0,2025-09-19,en,"everything is good, the strap, the watch, the functions and the accuracy and app connectivity but the touch response couldve been faster overall worth the price","['everything', 'is', 'good', ',', 'the', 'strap', ',', 'the', 'watch', ',', 'the', 'functions', 'and', 'the', 'accuracy', 'and', 'app', 'connectivity', 'but', 'the', 'touch', 'response', 'couldve', 'been', 'faster', 'overall', 'worth', 'the', 'price']",29,"['everything is good, the strap, the watch, the functions and the accuracy and app connectivity but the touch response couldve been faster overall worth the price']",1,"['everything', 'good', ',', 'strap', ',', 'watch', ',', 'functions', 'accuracy', 'app', 'connectivity', 'touch', 'response', 'couldve', 'faster', 'overall', 'worth', 'price']","['everything', 'good', ',', 'strap', ',', 'watch', ',', 'function', 'accuracy', 'app', 'connectivity', 'touch', 'response', 'couldve', 'faster', 'overall', 'worth', 'price']","everything good , strap , watch , function accuracy app connectivity touch response couldve faster overall worth price"
Jannat,3.0 out of 5 stars,Good can buy it worth for money using currently in future god knows,Silver,26 October 2025,Good,3.0,2025-10-26,en,good can buy it worth for money using currently in future god knows,"['good', 'can', 'buy', 'it', 'worth', 'for', 'money', 'using', 'currently', 'in', 'future', 'god', 'knows']",13,['good can buy it worth for money using currently in future god knows'],1,"['good', 'buy', 'worth', 'money', 'using', 'currently', 'future', 'god', 'knows']","['good', 'buy', 'worth', 'money', 'using', 'currently', 'future', 'god', 'know']",good buy worth money using currently future god know
Panna Roy,3.0 out of 5 stars,"Hello,I recently received a Fastrack watch, but the screen appears to be slightly tilted/misaligned. It doesn’t look properly aligned inside the case. Please help me with a replacement or refund.Thank you.",Rose Gold,8 October 2025,Screen is misaligned,3.0,2025-10-08,en,"hello,i recently received a fastrack watch, but the screen appears to be slightly tiltedmisaligned. it doesnt look properly aligned inside the case. please help me with a replacement or refund.thank you.","['hello', ',', 'i', 'recently', 'received', 'a', 'fastrack', 'watch', ',', 'but', 'the', 'screen', 'appears', 'to', 'be', 'slightly', 'tiltedmisaligned', '.', 'it', 'doesnt', 'look', 'properly', 'aligned', 'inside', 'the', 'case', '.', 'please', 'help', 'me', 'with', 'a', 'replacement', 'or', 'refund.thank', 'you', '.']",37,"['hello,i recently received a fastrack watch, but the screen appears to be slightly tiltedmisaligned.', 'it doesnt look properly aligned inside the case.', 'please help me with a replacement or refund.thank you.']",3,"['hello', ',', 'recently', 'received', 'fastrack', 'watch', ',', 'screen', 'appears', 'slightly', 'tiltedmisaligned', '.', 'doesnt', 'look', 'properly', 'aligned', 'inside', 'case', '.', 'please', 'help', 'replacement', 'refund.thank', '.']","['hello', ',', 'recently', 'received', 'fastrack', 'watch', ',', 'screen', 'appears', 'slightly', 'tiltedmisaligned', '.', 'doesnt', 'look', 'properly', 'aligned', 'inside', 'case', '.', 'please', 'help', 'replacement', 'refund.thank', '.']","hello , recently received fastrack watch , screen appears slightly tiltedmisaligned . doesnt look properly aligned inside case . please help replacement refund.thank ."
Venkata,4.0 out of 5 stars,"Belt Chain is very heavy, people who likes heavy belt can enjoy this. I have changed belt to light weight. After buying it only one time it was worked and after that charger not working. I went to fast-track store they took time but replaced it. Now it is working fine.",Black_Metal,26 August 2025,Good watch,4.0,2025-08-26,en,"belt chain is very heavy, people who likes heavy belt can enjoy this. i have changed belt to light weight. after buying it only one time it was worked and after that charger not working. i went to fasttrack store they took time but replaced it. now it is working fine.","['belt', 'chain', 'is', 'very', 'heavy', ',', 'people', 'who', 'likes', 'heavy', 'belt', 'can', 'enjoy', 'this', '.', 'i', 'have', 'changed', 'belt', 'to', 'light', 'weight', '.', 'after', 'buying', 'it', 'only', 'one', 'time', 'it', 'was', 'worked', 'and', 'after', 'that', 'charger', 'not', 'working', '.', 'i', 'went', 'to', 'fasttrack', 'store', 'they', 'took', 'time', 'but', 'replaced', 'it', '.', 'now', 'it', 'is', 'working', 'fine', '.']",57,"['belt chain is very heavy, people who likes heavy belt can enjoy this.', 'i have changed belt to light weight.', 'after buying it only one time it was worked and after that charger not working.', 'i went to fasttrack store they took time but replaced it.', 'now it is working fine.']",5,"['belt', 'chain', 'heavy', ',', 'people', 'likes', 'heavy', 'belt', 'enjoy', '.', 'changed', 'belt', 'light', 'weight', '.', 'buying', 'one', 'time', 'worked', 'charger', 'working', '.', 'went', 'fasttrack', 'store', 'took', 'time', 'replaced', '.', 'working', 'fine', '.']","['belt', 'chain', 'heavy', ',', 'people', 'like', 'heavy', 'belt', 'enjoy', '.', 'changed', 'belt', 'light', 'weight', '.', 'buying', 'one', 'time', 'worked', 'charger', 'working', '.', 'went', 'fasttrack', 'store', 'took', 'time', 'replaced', '.', 'working', 'fine', '.']","belt chain heavy , people like heavy belt enjoy . changed belt light weight . buying one time worked charger working . went fasttrack store took time replaced . working fine ."
Happy with this product,3.0 out of 5 stars,I face hanging problem in this watch how can I fix it?,Rose Gold Mesh,18 October 2025,Hanging issues,3.0,2025-10-18,en,i face hanging problem in this watch how can i fix it?,"['i', 'face', 'hanging', 'problem', 'in', 'this', 'watch', 'how', 'can', 'i', 'fix', 'it', '?']",13,['i face hanging problem in this watch how can i fix it?'],1,"['face', 'hanging', 'problem', 'watch', 'fix', '?']","['face', 'hanging', 'problem', 'watch', 'fix', '?']",face hanging problem watch fix ?
Ashish solanki,5.0 out of 5 stars,The watch is looking great display is smooth overall it is worth buying.,Charcoal Black,5 November 2025,Experience of using watch,5.0,2025-11-05,en,the watch is looking great display is smooth overall it is worth buying.,"['the', 'watch', 'is', 'looking', 'great', 'display', 'is', 'smooth', 'overall', 'it', 'is', 'worth', 'buying', '.']",14,['the watch is looking great display is smooth overall it is worth buying.'],1,"['watch', 'looking', 'great', 'display', 'smooth', 'overall', 'worth', 'buying', '.']","['watch', 'looking', 'great', 'display', 'smooth', 'overall', 'worth', 'buying', '.']",watch looking great display smooth overall worth buying .
karthikeyan.B,3.0 out of 5 stars,Product looks neat and GUI looks good and clean compared to boat but touch response is not good as boat brand,Carbon Black,2 October 2025,GUI is good but touch response is slow,3.0,2025-10-02,en,product looks neat and gui looks good and clean compared to boat but touch response is not good as boat brand,"['product', 'looks', 'neat', 'and', 'gui', 'looks', 'good', 'and', 'clean', 'compared', 'to', 'boat', 'but', 'touch', 'response', 'is', 'not', 'good', 'as', 'boat', 'brand']",21,['product looks neat and gui looks good and clean compared to boat but touch response is not good as boat brand'],1,"['product', 'looks', 'neat', 'gui', 'looks', 'good', 'clean', 'compared', 'boat', 'touch', 'response', 'good', 'boat', 'brand']","['product', 'look', 'neat', 'gui', 'look', 'good', 'clean', 'compared', 'boat', 'touch', 'response', 'good', 'boat', 'brand']",product look neat gui look good clean compared boat touch response good boat brand
Chanchal,3.0 out of 5 stars,Product is ok but charger is missing,Rose Gold Mesh,10 October 2025,Good product but charger missing,3.0,2025-10-10,en,product is ok but charger is missing,"['product', 'is', 'ok', 'but', 'charger', 'is', 'missing']",7,['product is ok but charger is missing'],1,"['product', 'ok', 'charger', 'missing']","['product', 'ok', 'charger', 'missing']",product ok charger missing
NEELAY RAJ,4.0 out of 5 stars,"Excellent Product, Hardware is fine but the fasttrack smart world app firmware is not updating.",Teal Green,19 August 2025,Great hardware but software app is faulty,4.0,2025-08-19,en,"excellent product, hardware is fine but the fasttrack smart world app firmware is not updating.","['excellent', 'product', ',', 'hardware', 'is', 'fine', 'but', 'the', 'fasttrack', 'smart', 'world', 'app', 'firmware', 'is', 'not', 'updating', '.']",17,"['excellent product, hardware is fine but the fasttrack smart world app firmware is not updating.']",1,"['excellent', 'product', ',', 'hardware', 'fine', 'fasttrack', 'smart', 'world', 'app', 'firmware', 'updating', '.']","['excellent', 'product', ',', 'hardware', 'fine', 'fasttrack', 'smart', 'world', 'app', 'firmware', 'updating', '.']","excellent product , hardware fine fasttrack smart world app firmware updating ."
