name,rating,review,colour,date,title,rating_score,date_parsed,language,cleaned_text,tokens,token_count,sentences,sentence_count,tokens_no_stopwords,lemmatized_tokens,lemmatized_text,pos_tags,entities,product_features,vader_neg,vader_neu,vader_pos,vader_compound,vader_sentiment,sentiment_label,dominant_topic,topic_score,review_summary_textrank,review_summary_tfidf
ramesh rai,4.0 out of 5 stars,Good,Silver,30 October 2025,Good,4.0,2025-10-30,so,good,['good'],1,['good'],1,['good'],['good'],good,"[('good', 'JJ')]",[],[],0.0,0.0,1.0,0.4404,positive,2,0,0.7954317757921433,good,good
Nafees,4.0 out of 5 stars,Good for using,Deep_Blue,28 October 2025,Excellent,4.0,2025-10-28,en,good for using,"['good', 'for', 'using']",3,['good for using'],1,"['good', 'using']","['good', 'using']",good using,"[('good', 'JJ'), ('for', 'IN'), ('using', 'VBG')]",[],[],0.0,0.408,0.592,0.4404,positive,2,3,0.7789898370956956,good for using,good for using
Pawan Kumar,4.0 out of 5 stars,This watch is best in look and it has almost all features like call videos music etc it is very good in touch it's sound is OK ok it has value of money this is best watch to buy,Rose Gold,2 October 2025,Look and qualitys,4.0,2025-10-02,en,this watch is best in look and it has almost all features like call videos music etc it is very good in touch its sound is ok ok it has value of money this is best watch to buy,"['this', 'watch', 'is', 'best', 'in', 'look', 'and', 'it', 'has', 'almost', 'all', 'features', 'like', 'call', 'videos', 'music', 'etc', 'it', 'is', 'very', 'good', 'in', 'touch', 'its', 'sound', 'is', 'ok', 'ok', 'it', 'has', 'value', 'of', 'money', 'this', 'is', 'best', 'watch', 'to', 'buy']",39,['this watch is best in look and it has almost all features like call videos music etc it is very good in touch its sound is ok ok it has value of money this is best watch to buy'],1,"['watch', 'best', 'look', 'almost', 'features', 'like', 'call', 'videos', 'music', 'etc', 'good', 'touch', 'sound', 'ok', 'ok', 'value', 'money', 'best', 'watch', 'buy']","['watch', 'best', 'look', 'almost', 'feature', 'like', 'call', 'video', 'music', 'etc', 'good', 'touch', 'sound', 'ok', 'ok', 'value', 'money', 'best', 'watch', 'buy']",watch best look almost feature like call video music etc good touch sound ok ok value money best watch buy,"[('this', 'DT'), ('watch', 'NN'), ('is', 'VBZ'), ('best', 'RBS'), ('in', 'IN'), ('look', 'NN'), ('and', 'CC'), ('it', 'PRP'), ('has', 'VBZ'), ('almost', 'RB'), ('all', 'DT'), ('features', 'NNS'), ('like', 'IN'), ('call', 'NN'), ('videos', 'NNS'), ('music', 'NN'), ('etc', 'NN'), ('it', 'PRP'), ('is', 'VBZ'), ('very', 'RB'), ('good', 'JJ'), ('in', 'IN'), ('touch', 'NN'), ('its', 'PRP$'), ('sound', 'NN'), ('is', 'VBZ'), ('ok', 'JJ'), ('ok', 'IN'), ('it', 'PRP'), ('has', 'VBZ'), ('value', 'NN'), ('of', 'IN'), ('money', 'NN'), ('this', 'DT'), ('is', 'VBZ'), ('best', 'RBS'), ('watch', 'NN'), ('to', 'TO'), ('buy', 'VB')]",[],"[{'feature': 'sound', 'context_before': 'its', 'context_after': 'is', 'position': 24}]",0.0,0.608,0.392,0.9619,positive,2,4,0.8000518651891998,this watch is best in look and it has almost all features like call videos music etc it is very good in touch its sound is ok ok it has value of money this is best watch to buy,this watch is best in look and it has almost all features like call videos music etc it is very good in touch its sound is ok ok it has value of money this is best watch to buy
Singhanara,4.0 out of 5 stars,Very nice.Happy with the product and it's durability.,Gray,18 October 2025,Superb,4.0,2025-10-18,en,very nice.happy with the product and its durability.,"['very', 'nice.happy', 'with', 'the', 'product', 'and', 'its', 'durability', '.']",9,['very nice.happy with the product and its durability.'],1,"['nice.happy', 'product', 'durability', '.']","['nice.happy', 'product', 'durability', '.']",nice.happy product durability .,"[('very', 'RB'), ('nice.happy', 'JJ'), ('with', 'IN'), ('the', 'DT'), ('product', 'NN'), ('and', 'CC'), ('its', 'PRP$'), ('durability', 'NN'), ('.', '.')]",[],[],0.0,1.0,0.0,0.0,neutral,2,1,0.675166979549904,very nice.happy with the product and its durability.,very nice.happy with the product and its durability.
Placeholder,4.0 out of 5 stars,Worth a buy,Black_Metal,22 October 2025,Good Buy,4.0,2025-10-22,en,worth a buy,"['worth', 'a', 'buy']",3,['worth a buy'],1,"['worth', 'buy']","['worth', 'buy']",worth buy,"[('worth', 'NN'), ('a', 'DT'), ('buy', 'NN')]",[],[],0.0,0.345,0.655,0.2263,positive,2,3,0.8760626286055091,worth a buy,worth a buy
Bubai mondal,4.0 out of 5 stars,Nice product 😃,Silver,16 October 2025,Nice product,4.0,2025-10-16,ro,nice product,"['nice', 'product']",2,['nice product'],1,"['nice', 'product']","['nice', 'product']",nice product,"[('nice', 'JJ'), ('product', 'NN')]",[],[],0.0,0.263,0.737,0.4215,positive,2,1,0.6840877223031834,nice product,nice product
Laila,4.0 out of 5 stars,Nice been using it for 4 years,WineRed,13 October 2025,Affordable and best,4.0,2025-10-13,en,nice been using it for 4 years,"['nice', 'been', 'using', 'it', 'for', '4', 'years']",7,['nice been using it for 4 years'],1,"['nice', 'using', '4', 'years']","['nice', 'using', '4', 'year']",nice using 4 year,"[('nice', 'RB'), ('been', 'VBN'), ('using', 'VBG'), ('it', 'PRP'), ('for', 'IN'), ('4', 'CD'), ('years', 'NNS')]",[],[],0.0,0.641,0.359,0.4215,positive,2,1,0.7984691520069576,nice been using it for 4 years,nice been using it for 4 years
Ajit Kr Upadhyay,4.0 out of 5 stars,NICE PRODUCT MET THE QUALITY AND GOOD LOOK,Silver,9 October 2025,Standard,4.0,2025-10-09,vi,nice product met the quality and good look,"['nice', 'product', 'met', 'the', 'quality', 'and', 'good', 'look']",8,['nice product met the quality and good look'],1,"['nice', 'product', 'met', 'quality', 'good', 'look']","['nice', 'product', 'met', 'quality', 'good', 'look']",nice product met quality good look,"[('nice', 'JJ'), ('product', 'NN'), ('met', 'VBD'), ('the', 'DT'), ('quality', 'NN'), ('and', 'CC'), ('good', 'JJ'), ('look', 'NN')]",[],"[{'feature': 'quality', 'context_before': 'the', 'context_after': 'and', 'position': 4}]",0.0,0.513,0.487,0.6908,positive,2,0,0.8656057189775198,nice product met the quality and good look,nice product met the quality and good look
12yqra,4.0 out of 5 stars,Nice,Jet Black,10 October 2025,Good,4.0,2025-10-10,ro,nice,['nice'],1,['nice'],1,['nice'],['nice'],nice,"[('nice', 'JJ')]",[],[],0.0,0.0,1.0,0.4215,positive,2,1,0.9295713486718816,nice,nice
Gautam Kumar,4.0 out of 5 stars,Ok,Jet Black,10 October 2025,Ok,4.0,2025-10-10,unknown,ok,['ok'],1,['ok'],1,['ok'],['ok'],ok,"[('ok', 'NN')]",[],[],0.0,0.0,1.0,0.296,positive,2,4,0.9139644059411252,ok,ok
P.D. Dhadhal,4.0 out of 5 stars,Amazing product but found watch streps fitted wrong so I had repair at local watch repairer,BLACK,5 October 2025,Amazing product,4.0,2025-10-05,en,amazing product but found watch streps fitted wrong so i had repair at local watch repairer,"['amazing', 'product', 'but', 'found', 'watch', 'streps', 'fitted', 'wrong', 'so', 'i', 'had', 'repair', 'at', 'local', 'watch', 'repairer']",16,['amazing product but found watch streps fitted wrong so i had repair at local watch repairer'],1,"['amazing', 'product', 'found', 'watch', 'streps', 'fitted', 'wrong', 'repair', 'local', 'watch', 'repairer']","['amazing', 'product', 'found', 'watch', 'strep', 'fitted', 'wrong', 'repair', 'local', 'watch', 'repairer']",amazing product found watch strep fitted wrong repair local watch repairer,"[('amazing', 'JJ'), ('product', 'NN'), ('but', 'CC'), ('found', 'VBD'), ('watch', 'JJS'), ('streps', 'NNS'), ('fitted', 'VBN'), ('wrong', 'RB'), ('so', 'RB'), ('i', 'JJ'), ('had', 'VBD'), ('repair', 'NN'), ('at', 'IN'), ('local', 'JJ'), ('watch', 'NN'), ('repairer', 'NN')]",[],[],0.212,0.665,0.123,-0.4118,negative,2,2,0.5309079016142644,amazing product but found watch streps fitted wrong so i had repair at local watch repairer,amazing product but found watch streps fitted wrong so i had repair at local watch repairer
Amazon Customer,4.0 out of 5 stars,Product is very good 👍,Dark Teal,6 October 2025,Thank,4.0,2025-10-06,en,product is very good,"['product', 'is', 'very', 'good']",4,['product is very good'],1,"['product', 'good']","['product', 'good']",product good,"[('product', 'NN'), ('is', 'VBZ'), ('very', 'RB'), ('good', 'JJ')]",[],[],0.0,0.484,0.516,0.4927,positive,2,0,0.9251433825726504,product is very good,product is very good
J.V.ENTERPRISES,4.0 out of 5 stars,Good product according this price range,BLUE,2 October 2025,Good,4.0,2025-10-02,en,good product according this price range,"['good', 'product', 'according', 'this', 'price', 'range']",6,['good product according this price range'],1,"['good', 'product', 'according', 'price', 'range']","['good', 'product', 'according', 'price', 'range']",good product according price range,"[('good', 'JJ'), ('product', 'NN'), ('according', 'VBG'), ('this', 'DT'), ('price', 'NN'), ('range', 'NN')]",[],"[{'feature': 'price', 'context_before': 'this', 'context_after': 'range', 'position': 4}]",0.0,0.633,0.367,0.4404,positive,2,0,0.8911531380956251,good product according this price range,good product according this price range
M.hussain Maya,4.0 out of 5 stars,Good but not worth instead buy a cheaper one and display is good,BLUE,27 September 2025,Instead next tine i would go with a analogue watch,4.0,2025-09-27,en,good but not worth instead buy a cheaper one and display is good,"['good', 'but', 'not', 'worth', 'instead', 'buy', 'a', 'cheaper', 'one', 'and', 'display', 'is', 'good']",13,['good but not worth instead buy a cheaper one and display is good'],1,"['good', 'worth', 'instead', 'buy', 'cheaper', 'one', 'display', 'good']","['good', 'worth', 'instead', 'buy', 'cheaper', 'one', 'display', 'good']",good worth instead buy cheaper one display good,"[('good', 'JJ'), ('but', 'CC'), ('not', 'RB'), ('worth', 'JJ'), ('instead', 'RB'), ('buy', 'VBP'), ('a', 'DT'), ('cheaper', 'JJR'), ('one', 'CD'), ('and', 'CC'), ('display', 'NN'), ('is', 'VBZ'), ('good', 'JJ')]",[],"[{'feature': 'display', 'context_before': 'and', 'context_after': 'is', 'position': 10}]",0.119,0.536,0.345,0.586,positive,2,3,0.7581940590474593,good but not worth instead buy a cheaper one and display is good,good but not worth instead buy a cheaper one and display is good
rk,4.0 out of 5 stars,No warranty number in box,Silver,29 September 2025,Smart watch...,4.0,2025-09-29,en,no warranty number in box,"['no', 'warranty', 'number', 'in', 'box']",5,['no warranty number in box'],1,"['warranty', 'number', 'box']","['warranty', 'number', 'box']",warranty number box,"[('no', 'DT'), ('warranty', 'NN'), ('number', 'NN'), ('in', 'IN'), ('box', 'NN')]",[],"[{'feature': 'box', 'context_before': 'in', 'context_after': '', 'position': 4}]",0.338,0.462,0.2,-0.2263,negative,2,2,0.5084773048505499,no warranty number in box,no warranty number in box
Gokul,4.0 out of 5 stars,Yeah display pretty good but not happy with the strap,Carbon Black,26 September 2025,Yeah nice,4.0,2025-09-26,en,yeah display pretty good but not happy with the strap,"['yeah', 'display', 'pretty', 'good', 'but', 'not', 'happy', 'with', 'the', 'strap']",10,['yeah display pretty good but not happy with the strap'],1,"['yeah', 'display', 'pretty', 'good', 'happy', 'strap']","['yeah', 'display', 'pretty', 'good', 'happy', 'strap']",yeah display pretty good happy strap,"[('yeah', 'NN'), ('display', 'NN'), ('pretty', 'RB'), ('good', 'JJ'), ('but', 'CC'), ('not', 'RB'), ('happy', 'JJ'), ('with', 'IN'), ('the', 'DT'), ('strap', 'NN')]",[],"[{'feature': 'display', 'context_before': 'yeah', 'context_after': 'pretty', 'position': 1}]",0.255,0.383,0.361,-0.0892,negative,2,0,0.6809870080526698,yeah display pretty good but not happy with the strap,yeah display pretty good but not happy with the strap
Partha Sarathi Sarkar,4.0 out of 5 stars,Good Product,BLUE,25 September 2025,Good,4.0,2025-09-25,en,good product,"['good', 'product']",2,['good product'],1,"['good', 'product']","['good', 'product']",good product,"[('good', 'JJ'), ('product', 'NN')]",[],[],0.0,0.256,0.744,0.4404,positive,2,0,0.8760384901175113,good product,good product
Omprakash,4.0 out of 5 stars,Good product,Silver,23 September 2025,Good colour,4.0,2025-09-23,en,good product,"['good', 'product']",2,['good product'],1,"['good', 'product']","['good', 'product']",good product,"[('good', 'JJ'), ('product', 'NN')]",[],[],0.0,0.256,0.744,0.4404,positive,2,0,0.8760384901175113,good product,good product
Santhosh Kumar,4.0 out of 5 stars,"Everything is Good, the strap, the watch, the functions and the accuracy and app connectivity but the touch response could've been faster overall worth the price",Charcoal Black,19 September 2025,PERFORMANCE,4.0,2025-09-19,en,"everything is good, the strap, the watch, the functions and the accuracy and app connectivity but the touch response couldve been faster overall worth the price","['everything', 'is', 'good', ',', 'the', 'strap', ',', 'the', 'watch', ',', 'the', 'functions', 'and', 'the', 'accuracy', 'and', 'app', 'connectivity', 'but', 'the', 'touch', 'response', 'couldve', 'been', 'faster', 'overall', 'worth', 'the', 'price']",29,"['everything is good, the strap, the watch, the functions and the accuracy and app connectivity but the touch response couldve been faster overall worth the price']",1,"['everything', 'good', ',', 'strap', ',', 'watch', ',', 'functions', 'accuracy', 'app', 'connectivity', 'touch', 'response', 'couldve', 'faster', 'overall', 'worth', 'price']","['everything', 'good', ',', 'strap', ',', 'watch', ',', 'function', 'accuracy', 'app', 'connectivity', 'touch', 'response', 'couldve', 'faster', 'overall', 'worth', 'price']","everything good , strap , watch , function accuracy app connectivity touch response couldve faster overall worth price","[('everything', 'NN'), ('is', 'VBZ'), ('good', 'JJ'), (',', ','), ('the', 'DT'), ('strap', 'NN'), (',', ','), ('the', 'DT'), ('watch', 'NN'), (',', ','), ('the', 'DT'), ('functions', 'NNS'), ('and', 'CC'), ('the', 'DT'), ('accuracy', 'NN'), ('and', 'CC'), ('app', 'JJ'), ('connectivity', 'NN'), ('but', 'CC'), ('the', 'DT'), ('touch', 'JJ'), ('response', 'NN'), ('couldve', 'NN'), ('been', 'VBN'), ('faster', 'RBR'), ('overall', 'JJ'), ('worth', 'IN'), ('the', 'DT'), ('price', 'NN')]",[],"[{'feature': 'price', 'context_before': 'the', 'context_after': '', 'position': 28}]",0.0,0.848,0.152,0.5106,positive,2,2,0.7811932167789636,"everything is good, the strap, the watch, the functions and the accuracy and app connectivity but the touch response couldve been faster overall worth the price","everything is good, the strap, the watch, the functions and the accuracy and app connectivity but the touch response couldve been faster overall worth the price"
Jannat,3.0 out of 5 stars,Good can buy it worth for money using currently in future god knows,Silver,26 October 2025,Good,3.0,2025-10-26,en,good can buy it worth for money using currently in future god knows,"['good', 'can', 'buy', 'it', 'worth', 'for', 'money', 'using', 'currently', 'in', 'future', 'god', 'knows']",13,['good can buy it worth for money using currently in future god knows'],1,"['good', 'buy', 'worth', 'money', 'using', 'currently', 'future', 'god', 'knows']","['good', 'buy', 'worth', 'money', 'using', 'currently', 'future', 'god', 'know']",good buy worth money using currently future god know,"[('good', 'JJ'), ('can', 'MD'), ('buy', 'VB'), ('it', 'PRP'), ('worth', 'JJ'), ('for', 'IN'), ('money', 'NN'), ('using', 'VBG'), ('currently', 'RB'), ('in', 'IN'), ('future', 'JJ'), ('god', 'NN'), ('knows', 'NNS')]",[],[],0.0,0.592,0.408,0.7096,positive,1,3,0.8490614240246293,good can buy it worth for money using currently in future god knows,good can buy it worth for money using currently in future god knows
Panna Roy,3.0 out of 5 stars,"Hello,I recently received a Fastrack watch, but the screen appears to be slightly tilted/misaligned. It doesn’t look properly aligned inside the case. Please help me with a replacement or refund.Thank you.",Rose Gold,8 October 2025,Screen is misaligned,3.0,2025-10-08,en,"hello,i recently received a fastrack watch, but the screen appears to be slightly tiltedmisaligned. it doesnt look properly aligned inside the case. please help me with a replacement or refund.thank you.","['hello', ',', 'i', 'recently', 'received', 'a', 'fastrack', 'watch', ',', 'but', 'the', 'screen', 'appears', 'to', 'be', 'slightly', 'tiltedmisaligned', '.', 'it', 'doesnt', 'look', 'properly', 'aligned', 'inside', 'the', 'case', '.', 'please', 'help', 'me', 'with', 'a', 'replacement', 'or', 'refund.thank', 'you', '.']",37,"['hello,i recently received a fastrack watch, but the screen appears to be slightly tiltedmisaligned.', 'it doesnt look properly aligned inside the case.', 'please help me with a replacement or refund.thank you.']",3,"['hello', ',', 'recently', 'received', 'fastrack', 'watch', ',', 'screen', 'appears', 'slightly', 'tiltedmisaligned', '.', 'doesnt', 'look', 'properly', 'aligned', 'inside', 'case', '.', 'please', 'help', 'replacement', 'refund.thank', '.']","['hello', ',', 'recently', 'received', 'fastrack', 'watch', ',', 'screen', 'appears', 'slightly', 'tiltedmisaligned', '.', 'doesnt', 'look', 'properly', 'aligned', 'inside', 'case', '.', 'please', 'help', 'replacement', 'refund.thank', '.']","hello , recently received fastrack watch , screen appears slightly tiltedmisaligned . doesnt look properly aligned inside case . please help replacement refund.thank .","[('hello', 'NN'), (',', ','), ('i', 'NN'), ('recently', 'RB'), ('received', 'VBD'), ('a', 'DT'), ('fastrack', 'NN'), ('watch', 'NN'), (',', ','), ('but', 'CC'), ('the', 'DT'), ('screen', 'NN'), ('appears', 'VBZ'), ('to', 'TO'), ('be', 'VB'), ('slightly', 'RB'), ('tiltedmisaligned', 'VBN'), ('.', '.'), ('it', 'PRP'), ('doesnt', 'JJ'), ('look', 'VBD'), ('properly', 'RB'), ('aligned', 'VBN'), ('inside', 'IN'), ('the', 'DT'), ('case', 'NN'), ('.', '.'), ('please', 'VB'), ('help', 'VB'), ('me', 'PRP'), ('with', 'IN'), ('a', 'DT'), ('replacement', 'NN'), ('or', 'CC'), ('refund.thank', 'NN'), ('you', 'PRP'), ('.', '.')]",[],"[{'feature': 'screen', 'context_before': 'the', 'context_after': 'appears', 'position': 11}]",0.0,0.806,0.194,0.7579,positive,1,2,0.7277845532843537,it doesnt look properly aligned inside the case. please help me with a replacement or refund.thank you.,"hello,i recently received a fastrack watch, but the screen appears to be slightly tiltedmisaligned. it doesnt look properly aligned inside the case."
Venkata,4.0 out of 5 stars,"Belt Chain is very heavy, people who likes heavy belt can enjoy this. I have changed belt to light weight. After buying it only one time it was worked and after that charger not working. I went to fast-track store they took time but replaced it. Now it is working fine.",Black_Metal,26 August 2025,Good watch,4.0,2025-08-26,en,"belt chain is very heavy, people who likes heavy belt can enjoy this. i have changed belt to light weight. after buying it only one time it was worked and after that charger not working. i went to fasttrack store they took time but replaced it. now it is working fine.","['belt', 'chain', 'is', 'very', 'heavy', ',', 'people', 'who', 'likes', 'heavy', 'belt', 'can', 'enjoy', 'this', '.', 'i', 'have', 'changed', 'belt', 'to', 'light', 'weight', '.', 'after', 'buying', 'it', 'only', 'one', 'time', 'it', 'was', 'worked', 'and', 'after', 'that', 'charger', 'not', 'working', '.', 'i', 'went', 'to', 'fasttrack', 'store', 'they', 'took', 'time', 'but', 'replaced', 'it', '.', 'now', 'it', 'is', 'working', 'fine', '.']",57,"['belt chain is very heavy, people who likes heavy belt can enjoy this.', 'i have changed belt to light weight.', 'after buying it only one time it was worked and after that charger not working.', 'i went to fasttrack store they took time but replaced it.', 'now it is working fine.']",5,"['belt', 'chain', 'heavy', ',', 'people', 'likes', 'heavy', 'belt', 'enjoy', '.', 'changed', 'belt', 'light', 'weight', '.', 'buying', 'one', 'time', 'worked', 'charger', 'working', '.', 'went', 'fasttrack', 'store', 'took', 'time', 'replaced', '.', 'working', 'fine', '.']","['belt', 'chain', 'heavy', ',', 'people', 'like', 'heavy', 'belt', 'enjoy', '.', 'changed', 'belt', 'light', 'weight', '.', 'buying', 'one', 'time', 'worked', 'charger', 'working', '.', 'went', 'fasttrack', 'store', 'took', 'time', 'replaced', '.', 'working', 'fine', '.']","belt chain heavy , people like heavy belt enjoy . changed belt light weight . buying one time worked charger working . went fasttrack store took time replaced . working fine .","[('belt', 'NN'), ('chain', 'NN'), ('is', 'VBZ'), ('very', 'RB'), ('heavy', 'JJ'), (',', ','), ('people', 'NNS'), ('who', 'WP'), ('likes', 'VBP'), ('heavy', 'JJ'), ('belt', 'NN'), ('can', 'MD'), ('enjoy', 'VB'), ('this', 'DT'), ('.', '.'), ('i', 'NN'), ('have', 'VBP'), ('changed', 'VBN'), ('belt', 'NN'), ('to', 'TO'), ('light', 'JJ'), ('weight', 'NN'), ('.', '.'), ('after', 'IN'), ('buying', 'VBG'), ('it', 'PRP'), ('only', 'RB'), ('one', 'CD'), ('time', 'NN'), ('it', 'PRP'), ('was', 'VBD'), ('worked', 'VBN'), ('and', 'CC'), ('after', 'IN'), ('that', 'DT'), ('charger', 'NN'), ('not', 'RB'), ('working', 'VBG'), ('.', '.'), ('i', 'JJ'), ('went', 'VBD'), ('to', 'TO'), ('fasttrack', 'VB'), ('store', 'NN'), ('they', 'PRP'), ('took', 'VBD'), ('time', 'NN'), ('but', 'CC'), ('replaced', 'VBD'), ('it', 'PRP'), ('.', '.'), ('now', 'RB'), ('it', 'PRP'), ('is', 'VBZ'), ('working', 'VBG'), ('fine', 'NN'), ('.', '.')]",[],"[{'feature': 'weight', 'context_before': 'light', 'context_after': '.', 'position': 21}, {'feature': 'charger', 'context_before': 'that', 'context_after': 'not', 'position': 35}]",0.0,0.881,0.119,0.6369,positive,2,2,0.6701666527438044,i have changed belt to light weight. after buying it only one time it was worked and after that charger not working.,"belt chain is very heavy, people who likes heavy belt can enjoy this. i have changed belt to light weight."
Happy with this product,3.0 out of 5 stars,I face hanging problem in this watch how can I fix it?,Rose Gold Mesh,18 October 2025,Hanging issues,3.0,2025-10-18,en,i face hanging problem in this watch how can i fix it?,"['i', 'face', 'hanging', 'problem', 'in', 'this', 'watch', 'how', 'can', 'i', 'fix', 'it', '?']",13,['i face hanging problem in this watch how can i fix it?'],1,"['face', 'hanging', 'problem', 'watch', 'fix', '?']","['face', 'hanging', 'problem', 'watch', 'fix', '?']",face hanging problem watch fix ?,"[('i', 'JJ'), ('face', 'VBP'), ('hanging', 'VBG'), ('problem', 'NN'), ('in', 'IN'), ('this', 'DT'), ('watch', 'NN'), ('how', 'WRB'), ('can', 'MD'), ('i', 'VB'), ('fix', 'VB'), ('it', 'PRP'), ('?', '.')]",[],[],0.231,0.769,0.0,-0.4019,negative,1,2,0.7065761993233298,i face hanging problem in this watch how can i fix it?,i face hanging problem in this watch how can i fix it?
Ashish solanki,5.0 out of 5 stars,The watch is looking great display is smooth overall it is worth buying.,Charcoal Black,5 November 2025,Experience of using watch,5.0,2025-11-05,en,the watch is looking great display is smooth overall it is worth buying.,"['the', 'watch', 'is', 'looking', 'great', 'display', 'is', 'smooth', 'overall', 'it', 'is', 'worth', 'buying', '.']",14,['the watch is looking great display is smooth overall it is worth buying.'],1,"['watch', 'looking', 'great', 'display', 'smooth', 'overall', 'worth', 'buying', '.']","['watch', 'looking', 'great', 'display', 'smooth', 'overall', 'worth', 'buying', '.']",watch looking great display smooth overall worth buying .,"[('the', 'DT'), ('watch', 'NN'), ('is', 'VBZ'), ('looking', 'VBG'), ('great', 'JJ'), ('display', 'NN'), ('is', 'VBZ'), ('smooth', 'JJ'), ('overall', 'JJ'), ('it', 'PRP'), ('is', 'VBZ'), ('worth', 'JJ'), ('buying', 'NN'), ('.', '.')]",[],"[{'feature': 'display', 'context_before': 'great', 'context_after': 'is', 'position': 5}]",0.0,0.647,0.353,0.7184,positive,2,2,0.8032125477649869,the watch is looking great display is smooth overall it is worth buying.,the watch is looking great display is smooth overall it is worth buying.
karthikeyan.B,3.0 out of 5 stars,Product looks neat and GUI looks good and clean compared to boat but touch response is not good as boat brand,Carbon Black,2 October 2025,GUI is good but touch response is slow,3.0,2025-10-02,en,product looks neat and gui looks good and clean compared to boat but touch response is not good as boat brand,"['product', 'looks', 'neat', 'and', 'gui', 'looks', 'good', 'and', 'clean', 'compared', 'to', 'boat', 'but', 'touch', 'response', 'is', 'not', 'good', 'as', 'boat', 'brand']",21,['product looks neat and gui looks good and clean compared to boat but touch response is not good as boat brand'],1,"['product', 'looks', 'neat', 'gui', 'looks', 'good', 'clean', 'compared', 'boat', 'touch', 'response', 'good', 'boat', 'brand']","['product', 'look', 'neat', 'gui', 'look', 'good', 'clean', 'compared', 'boat', 'touch', 'response', 'good', 'boat', 'brand']",product look neat gui look good clean compared boat touch response good boat brand,"[('product', 'NN'), ('looks', 'VBZ'), ('neat', 'JJ'), ('and', 'CC'), ('gui', 'JJ'), ('looks', 'NNS'), ('good', 'JJ'), ('and', 'CC'), ('clean', 'JJ'), ('compared', 'VBN'), ('to', 'TO'), ('boat', 'VB'), ('but', 'CC'), ('touch', 'JJ'), ('response', 'NN'), ('is', 'VBZ'), ('not', 'RB'), ('good', 'JJ'), ('as', 'IN'), ('boat', 'NN'), ('brand', 'NN')]",[],[],0.0,0.638,0.362,0.8248,positive,1,0,0.8830683304410509,product looks neat and gui looks good and clean compared to boat but touch response is not good as boat brand,product looks neat and gui looks good and clean compared to boat but touch response is not good as boat brand
Chanchal,3.0 out of 5 stars,Product is ok but charger is missing,Rose Gold Mesh,10 October 2025,Good product but charger missing,3.0,2025-10-10,en,product is ok but charger is missing,"['product', 'is', 'ok', 'but', 'charger', 'is', 'missing']",7,['product is ok but charger is missing'],1,"['product', 'ok', 'charger', 'missing']","['product', 'ok', 'charger', 'missing']",product ok charger missing,"[('product', 'NN'), ('is', 'VBZ'), ('ok', 'JJ'), ('but', 'CC'), ('charger', 'NN'), ('is', 'VBZ'), ('missing', 'VBG')]",[],"[{'feature': 'charger', 'context_before': 'but', 'context_after': 'is', 'position': 4}]",0.298,0.532,0.17,-0.296,negative,1,4,0.7176778531509789,product is ok but charger is missing,product is ok but charger is missing
NEELAY RAJ,4.0 out of 5 stars,"Excellent Product, Hardware is fine but the fasttrack smart world app firmware is not updating.",Teal Green,19 August 2025,Great hardware but software app is faulty,4.0,2025-08-19,en,"excellent product, hardware is fine but the fasttrack smart world app firmware is not updating.","['excellent', 'product', ',', 'hardware', 'is', 'fine', 'but', 'the', 'fasttrack', 'smart', 'world', 'app', 'firmware', 'is', 'not', 'updating', '.']",17,"['excellent product, hardware is fine but the fasttrack smart world app firmware is not updating.']",1,"['excellent', 'product', ',', 'hardware', 'fine', 'fasttrack', 'smart', 'world', 'app', 'firmware', 'updating', '.']","['excellent', 'product', ',', 'hardware', 'fine', 'fasttrack', 'smart', 'world', 'app', 'firmware', 'updating', '.']","excellent product , hardware fine fasttrack smart world app firmware updating .","[('excellent', 'JJ'), ('product', 'NN'), (',', ','), ('hardware', 'NN'), ('is', 'VBZ'), ('fine', 'JJ'), ('but', 'CC'), ('the', 'DT'), ('fasttrack', 'JJS'), ('smart', 'JJ'), ('world', 'NN'), ('app', 'NN'), ('firmware', 'NN'), ('is', 'VBZ'), ('not', 'RB'), ('updating', 'JJ'), ('.', '.')]",[],[],0.0,0.622,0.378,0.743,positive,2,0,0.7823393297957304,"excellent product, hardware is fine but the fasttrack smart world app firmware is not updating.","excellent product, hardware is fine but the fasttrack smart world app firmware is not updating."
Rajesh devarapalli,3.0 out of 5 stars,"I have return this item, but still amount is not refunded",BLUE,4 October 2025,Not looking good,3.0,2025-10-04,en,"i have return this item, but still amount is not refunded","['i', 'have', 'return', 'this', 'item', ',', 'but', 'still', 'amount', 'is', 'not', 'refunded']",12,"['i have return this item, but still amount is not refunded']",1,"['return', 'item', ',', 'still', 'amount', 'refunded']","['return', 'item', ',', 'still', 'amount', 'refunded']","return item , still amount refunded","[('i', 'NNS'), ('have', 'VBP'), ('return', 'NN'), ('this', 'DT'), ('item', 'NN'), (',', ','), ('but', 'CC'), ('still', 'RB'), ('amount', 'VB'), ('is', 'VBZ'), ('not', 'RB'), ('refunded', 'VBN')]",[],[],0.0,1.0,0.0,0.0,neutral,1,4,0.9693495817962596,"i have return this item, but still amount is not refunded","i have return this item, but still amount is not refunded"
