name,rating,review,colour,date,title
Venkata,4.0 out of 5 stars,"Belt Chain is very heavy, people who likes heavy belt can enjoy this. I have changed belt to light weight. After buying it only one time it was worked and after that charger not working. I went to fast-track store they took time but replaced it. Now it is working fine.",Black_Metal,26 August 2025,Good watch
Happy with this product,3.0 out of 5 stars,I face hanging problem in this watch how can I fix it?,Rose Gold Mesh,18 October 2025,Hanging issues
Ashish solanki,5.0 out of 5 stars,The watch is looking great display is smooth overall it is worth buying.,Charcoal Black,5 November 2025,Experience of using watch
karthikeyan.B,3.0 out of 5 stars,Product looks neat and GUI looks good and clean compared to boat but touch response is not good as boat brand,Carbon Black,2 October 2025,GUI is good but touch response is slow
Chanchal,3.0 out of 5 stars,Product is ok but charger is missing,Rose Gold Mesh,10 October 2025,Good product but charger missing
NEELAY RAJ,4.0 out of 5 stars,"Excellent Product, Hardware is fine but the fasttrack smart world app firmware is not updating.",Teal Green,19 August 2025,Great hardware but software app is faulty
Rajesh devarapalli,3.0 out of 5 stars,"I have return this item, but still amount is not refunded",BLUE,4 October 2025,Not looking good
Simrah,5.0 out of 5 stars,Very nice watchIf one is looking for a smartwatch this is the one I would recommend,Charcoal Black,27 October 2025,It’s quality is amazing
Prashant,4.0 out of 5 stars,Good in this price range,Teal_RoseGold,22 August 2025,Value for money
s. iyappan,4.0 out of 5 stars,Good product my son like this product c,BLUE,19 August 2025,Good
KM GEORGE,5.0 out of 5 stars,"Nice watch . For those who are having small wrist ,small size ie 1.83'' like that can be purchased.",Charcoal Black,26 October 2025,Good digital watch.
Dileep,5.0 out of 5 stars,Very good product,Beige,6 November 2025,Good product
G shares,3.0 out of 5 stars,Decent product. Does its work.It doesn't feel premium neither cheap. Does exact for the price paid.I would recommend if its the maximum budget you have to buy a smart watch,Charcoal Black,17 September 2025,Average product for average price
Nithya devi Natarajan,5.0 out of 5 stars,Nice fully satisfied,Black_Metal,5 November 2025,Good
Kinnary Dwarkesh,4.0 out of 5 stars,"Connectivity is weak, gets disconnected easily. I purchased it to track swimming, which claimed as one of the sports mode, but it does not. Overall if you are look for style and basic fuctions then its nice.",Teal Green,31 July 2025,Good
Savita Sutar,5.0 out of 5 stars,Product is very good 👍👍👍,Blue,2 November 2025,Best
Krishnamurthy,4.0 out of 5 stars,"Not getting whatsapp or sms notification when paired with iphoneElse look wise am liking it alotWith such a nice old display, video player is missing feature in this.",Black_Metal,1 August 2025,Good watch with lot of scope for improvement
Abhijot Dharwal,5.0 out of 5 stars,acha ha,Jet Black,4 November 2025,
Shaikhasanuddin,5.0 out of 5 stars,Good product good quality good serves,Rose Gold Mesh,2 November 2025,Good amazon
Anbarasan,5.0 out of 5 stars,Worst it's not working after some days,Carbon Black,29 October 2025,Worst it's not working after some days
Yesh,4.0 out of 5 stars,"Nice, value for money",Teal Green,19 August 2025,Nice
Prasad shetty,3.0 out of 5 stars,Heart rate monitor stopped working after a week of purchase,Rose_Gold,23 September 2025,Sensor not working
Md Mohin,5.0 out of 5 stars,Great product Love it,Dark Teal,30 October 2025,Fastrack revoltt fs1 pro vs fastrack revoltt fs2 pro was no difference fs2 is better
Krishan murari,5.0 out of 5 stars,Nice watch,Silver Metal,31 October 2025,10
wajid,5.0 out of 5 stars,Awesome product 🥰,Black_Metal,30 October 2025,Special gift
KK Nair,5.0 out of 5 stars,Nice watch from Fastrack... My niece loves it.,Black_Metal,5 November 2025,Astor FR2 Pro
Amazon Customer,5.0 out of 5 stars,Good,beige,31 October 2025,Beast
Sriram Naresh Goud,4.0 out of 5 stars,Good,Rose Gold Mesh,12 August 2025,Value for money
D.Kumar,5.0 out of 5 stars,Good,Rose_Gold,1 November 2025,Excited
almas farheen,5.0 out of 5 stars,"Stylish , nice design",Black_Metal,27 October 2025,Fasttract never disappoint us one of the best product
Muobtika,5.0 out of 5 stars,Good,Carbon Black,3 November 2025,Good
Tharakeswara,4.0 out of 5 stars,Nice and comfortable daily use,TEAL,6 August 2025,Fastrack
Rakesh L,5.0 out of 5 stars,Good. Value for money,Smoke,24 October 2025,Value for money
Ishaan,5.0 out of 5 stars,Enjoying,Beige,26 October 2025,Satisfied
Very nice phone case,5.0 out of 5 stars,Good watch,Smoke,25 October 2025,Good
shaurya   jain,4.0 out of 5 stars,Appealing designSuperb lookGreat feelOnly problem i faced was pairing the app and watch but it happened finally after 1-2 resets of the watch,Teal_RoseGold,19 July 2025,Amazing product
Product Edges Not Perfect Fiting..Finishing Also Not Worth..,5.0 out of 5 stars,Worth,Carbon Black,24 October 2025,Value of money
amrish kumar,4.0 out of 5 stars,Its a good watch in this price. Excellent design and very easy to use. I haven't faced any charging issues yet with this watch. Its touch quality is smooth too. Good one to buy in this price range.,Dark Teal,10 July 2025,Good watch
ambedkar pradhan,5.0 out of 5 stars,Excellent,Black Mesh,22 October 2025,Excellent
jitendra uchil,5.0 out of 5 stars,"As per my expectations,",Silver,29 October 2025,Good choice
Suresh G,5.0 out of 5 stars,"Battery goodPower saving mode goodGPS not availableIn metal strap more waitIn packing to be add the Silicon StrapHeart rate, SpO2 not working properly",Black_Metal,9 October 2025,Product is good
vijay,4.0 out of 5 stars,Is watch don't have msg tracking like whats up and normal  msgs,Carbon Black,20 July 2025,Msgs
Manighandan007,5.0 out of 5 stars,"The silver design is sleek and the battery life is impressive. It offers the typical features of most smartwatches, including alarm, step tracking and goal-setting for walking. However, like all smartwatches, it’s not 100% accurate in step counting—it adds steps while traveling on metro, buses, or bikes. Overall, it does the job, has a solid build, and even survived in heavy rain.",Silver,21 September 2025,Great battery backup
B.Narayana,4.0 out of 5 stars,Fine. But I wanted item with belt,Rose Gold Mesh,23 July 2025,Good
Saurabh Swami,5.0 out of 5 stars,Very good watch worth buying,Rose Gold Mesh,16 October 2025,Beautiful watch
Ishu,5.0 out of 5 stars,Nice product,Wine_Red,17 October 2025,Nice
Placeholder,4.0 out of 5 stars,Nice watch,Carbon Black,24 July 2025,Must buy
Amazon Customer,4.0 out of 5 stars,Good,BLACK,24 July 2025,Good
Amazon User,5.0 out of 5 stars,Nice product. Value for money. Best brand in smart watches.,Jet Black,10 October 2025,Value for money.
Karthikeyan Nadadur,4.0 out of 5 stars,Chrger wire jas problem,Rose Gold,22 July 2025,Charger wire hs problem
Joyanta Kumar Das,5.0 out of 5 stars,Very nice watch. After long time the colours on metals are as shinny as new,Rose Gold Mesh,5 October 2025,Fastrack is best
abhey singh,3.0 out of 5 stars,Why did you pick this product vs others?:Watch is good and ok.But box I received it in was not sealed.seal was already broken.Although watch is new only so I accepted and did not raise any issue regarding product as I was in mumbai for that day only..No damage was found.It hurts little bit to know that same watch may have been sent to someone first and then they sent the same one to me when that person returned it back.,BLACK,10 July 2025,Broken seal
Ketankumar Prajapati,4.0 out of 5 stars,Good,Carbon Black,23 July 2025,Good
Govinda Rapra,4.0 out of 5 stars,Good,Carbon Black,26 July 2025,Good
Vishalkurkure,4.0 out of 5 stars,watch is comfortable good quality and colour,BLUE,17 July 2025,Good
Sumit Swami,5.0 out of 5 stars,Very Good Stylish Watch,Black_Metal,12 October 2025,Super
Babita,5.0 out of 5 stars,Very nice 👍,Wine Red,12 October 2025,Quality and colour very good 👍♥️♥️
SYED ABDUL JAMAAL,5.0 out of 5 stars,It's a very good product 😊,Silver Metal,9 October 2025,Very good product
Jaiswal parwati,5.0 out of 5 stars,Very very very nice,Black_Metal,11 October 2025,Bhot achcha
